id,created_at,source,original_text,clean_text,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1399852843964583936,Tue Jun 01 22:18:20 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Sulthan36350528: Londo ireng atau PKI di era kemerdekaan indonesia. Kalau sekarang buzerp ,cebong, kodok budug. Kalau dalam UUD 45 , te…",londo ireng pki era kemerdekaan indonesia buzerp cebong kodok budug dalam uud te,in,0,3,deaboy1,,,Sulthan36350528,,
1399852818102579202,Tue Jun 01 22:18:14 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Aneh....
Sy liat antara yg disebut kadrun dan yg di sebut cebong dua2 nya sama2 org indonesia, sama2 cinta indonesia, sama2 mau mempertahankan NKRI. Tp kenapa kok selalu berbeda narasi dan saling serang di medsos? Pancasila Dasar Negara, Agama adlh Dasar dr Pancasila...clear kan?",aneh lihat kadrun cebong nya indonesia cinta indonesia mempertahankan nkri berbeda narasi serang medsos pancasila dasar negara agama dasar dr pancasila clear kan,in,0,0,CongPadi,,,,,
1399851494078255106,Tue Jun 01 22:12:58 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@nung_306 @jokowi Itu namanya cebong ongo,namanya cebong ongo,in,1,0,kandayan,,,"nung_306, jokowi",Jakarta 13220,
1399841134348693504,Tue Jun 01 21:31:48 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@republikaonline Radikal radikul tdk ada measurement n parameter achievement. Tp kalo nangkap Harun Masiku koruptor separtai radikal, perampok bejad uang rakyat jelas goal n targetnya. @jokowi paham yak. Dungu di rem dong @jokowi jangan di gas kayak cebong",radikal radikul tidak measurement parameter achievement nangkap harun masiku koruptor separtai radikal perampok bejad uang rakyat goal targetnya paham yak dungu rem gas kayak cebong,in,0,0,NNdrae,,,"republikaonline, jokowi, jokowi",,
1399839404068278274,Tue Jun 01 21:24:56 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@nung_306 @FakhruziYusal @jokowi Bani cebong hanya bisa jadi kodok,bani cebong kodok,in,2,0,Fayyadhi2,,,"nung_306, FakhruziYusal, jokowi",,
1399837134530383873,Tue Jun 01 21:15:55 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @nung_306: Kalau saya katakan ""saya mendukung Pak @jokowi &amp; saya berharap beliau menjalankan pemerintahan sesuai harapan rakyat, tapi sa…",katakan mendukung amp berharap menjalankan pemerintahan harapan rakyat sa,in,0,11,FakhruziYusal,,,"nung_306, jokowi",,
1399820667613171712,Tue Jun 01 20:10:29 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @pujiwidodo219: @msaid_didu Jokowi bohong ngibul mah dah bawaan dr Walikota Solo.Klau ucup yusup mansur pst krn keselek.Woeyy cup mansyu…,jokowi bohong berbohong mah deh bawaan dr walikota solo klau ucup yusup mansur keselek woeyy cup mansyu,in,0,1,Idahasibuan8,,,"pujiwidodo219, msaid_didu",,
1399814950231502849,Tue Jun 01 19:47:46 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@q8een_ bapak nya cebong dungu jokowi kan kacung china https://t.co/PRSvUcHoOF,nya cebong dungu jokowi kan kacung china,in,1,0,JhonaMerah,False,,q8een_,,
1399805229403676680,Tue Jun 01 19:09:08 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Musuh yg nyata bagi Pancasila adalah korupsi, pki, tka cina dan buzzerp @jokowi (cebong APBN)",musuh nyata pancasila korupsi pki tka cina buzzerp cebong apbn,in,2,0,penipu_2periode,,,jokowi,,
1399762407476498434,Tue Jun 01 16:18:58 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@Iwankristanto15 @yaniarsim @jokowi ya si plonga plongo pemimpin indonesia tapi dia gagal memimpin indonesia paham lu cebong dungu,si plonga plongo pemimpin indonesia gagal memimpin indonesia paham cebong dungu,in,0,0,JhonaMerah,,,"Iwankristanto15, yaniarsim, jokowi",,
